Dataset,Seed,Time,Sol.Quality,Full Tour,RelError_Approx
UKansasState.tsp,43.0,1.1146,70318.0,Yes,0.8953895161978441
UKansasState.tsp,44.0,1.1116,69987.0,Yes,0.8996242159258148
UKansasState.tsp,45.0,1.1581,69987.0,Yes,0.8996242159258148
UKansasState.tsp,46.0,1.2552,70143.0,Yes,0.8976234264288667
UKansasState.tsp,47.0,1.1268,71542.0,Yes,0.8800704481283721
UKansasState.tsp,48.0,1.0975,67636.0,Yes,0.9308947897569342
UKansasState.tsp,49.0,1.1381,70143.0,Yes,0.8976234264288667
UKansasState.tsp,50.0,1.1314,70944.0,Yes,0.8874887235002256
UKansasState.tsp,51.0,1.1358,70318.0,Yes,0.8953895161978441
UMissouri.tsp,42.0,7.9252,171306.0,Yes,1.532047914258695
UMissouri.tsp,43.0,1.1941,165181.0,Yes,1.495686549905861
UMissouri.tsp,44.0,1.1563,171054.0,Yes,1.6964993510821145
UMissouri.tsp,45.0,1.2959,170078.0,Yes,1.6422464986653182
UMissouri.tsp,46.0,1.1953,166855.0,Yes,1.593029876239849
UMissouri.tsp,47.0,1.2429,169548.0,Yes,1.5039870715077737
UMissouri.tsp,48.0,1.2046,170112.0,Yes,1.6587836249059442
UMissouri.tsp,49.0,1.1238,171483.0,Yes,1.381921240006298
UMissouri.tsp,50.0,1.1656,170432.0,Yes,1.639234416072099
UMissouri.tsp,51.0,1.1496,170155.0,Yes,1.5876994505010138
