Dataset,Algorithm,Cutoff,Seed,Time,Sol.Quality,Full Tour
Champaign.tsp,LS,10.0,51.0,1.5365,75596.0,Yes
Champaign.tsp,LS,15.0,42.0,1.4123,67196.0,Yes
Champaign.tsp,LS,15.0,43.0,1.4586,62176.0,Yes
Champaign.tsp,LS,15.0,44.0,1.4373,69885.0,Yes
Champaign.tsp,LS,15.0,45.0,1.3915,67129.0,Yes
Champaign.tsp,LS,15.0,46.0,1.3297,68691.0,Yes
Champaign.tsp,LS,15.0,47.0,1.3132,67646.0,Yes
Champaign.tsp,LS,15.0,48.0,1.3071,61499.0,Yes
Champaign.tsp,LS,15.0,49.0,1.3203,64941.0,Yes
Champaign.tsp,LS,15.0,50.0,1.4837,72069.0,Yes
Champaign.tsp,LS,15.0,51.0,1.5599,75596.0,Yes
Champaign.tsp,LS,20.0,42.0,1.3055,67196.0,Yes
Champaign.tsp,LS,20.0,43.0,1.341,62176.0,Yes
Champaign.tsp,LS,20.0,44.0,1.3122,69885.0,Yes
Champaign.tsp,LS,20.0,45.0,1.3542,67129.0,Yes
Champaign.tsp,LS,20.0,46.0,1.4365,68691.0,Yes
Champaign.tsp,LS,20.0,47.0,1.3261,67646.0,Yes
Champaign.tsp,LS,20.0,48.0,1.336,61499.0,Yes
Champaign.tsp,LS,20.0,49.0,1.3117,64941.0,Yes
Champaign.tsp,LS,20.0,50.0,1.4333,72069.0,Yes
Champaign.tsp,LS,20.0,51.0,1.4279,75596.0,Yes
Champaign.tsp,LS,25.0,42.0,1.6156,67196.0,Yes
Champaign.tsp,LS,25.0,43.0,1.3012,62176.0,Yes
Champaign.tsp,LS,25.0,44.0,1.2989,69885.0,Yes
Champaign.tsp,LS,25.0,45.0,1.2719,67129.0,Yes
Champaign.tsp,LS,25.0,46.0,1.3192,68691.0,Yes
Champaign.tsp,LS,25.0,47.0,1.2883,67646.0,Yes
Champaign.tsp,LS,25.0,48.0,1.3065,61499.0,Yes
Champaign.tsp,LS,25.0,49.0,1.3062,64941.0,Yes
Champaign.tsp,LS,25.0,50.0,1.2826,72069.0,Yes
Champaign.tsp,LS,25.0,51.0,1.2922,75596.0,Yes
Champaign.tsp,LS,50.0,42.0,1.2987,67196.0,Yes
Champaign.tsp,LS,50.0,43.0,1.5895,62176.0,Yes
Champaign.tsp,LS,50.0,44.0,1.5359,69885.0,Yes
Champaign.tsp,LS,50.0,45.0,1.2994,67129.0,Yes
Champaign.tsp,LS,50.0,46.0,1.3063,68691.0,Yes
Champaign.tsp,LS,50.0,47.0,1.3356,67646.0,Yes
Champaign.tsp,LS,50.0,48.0,1.2843,61499.0,Yes
Champaign.tsp,LS,50.0,49.0,1.3312,64941.0,Yes
Champaign.tsp,LS,50.0,50.0,1.331,72069.0,Yes
Champaign.tsp,LS,50.0,51.0,1.3491,75596.0,Yes
Champaign.tsp,LS,75.0,42.0,1.2892,67196.0,Yes
Champaign.tsp,LS,75.0,43.0,1.3346,62176.0,Yes
Champaign.tsp,LS,75.0,44.0,1.4736,69885.0,Yes
Champaign.tsp,LS,75.0,45.0,1.5859,67129.0,Yes
Champaign.tsp,LS,75.0,46.0,1.3563,68691.0,Yes
Champaign.tsp,LS,75.0,47.0,1.3396,67646.0,Yes
Champaign.tsp,LS,75.0,48.0,1.2799,61499.0,Yes
Champaign.tsp,LS,75.0,49.0,1.3115,64941.0,Yes
Champaign.tsp,LS,75.0,50.0,1.3411,72069.0,Yes
Champaign.tsp,LS,75.0,51.0,1.2842,75596.0,Yes
Champaign.tsp,LS,100.0,42.0,1.3086,67196.0,Yes
Champaign.tsp,LS,100.0,43.0,1.3211,62176.0,Yes
Champaign.tsp,LS,100.0,44.0,1.325,69885.0,Yes
Champaign.tsp,LS,100.0,45.0,1.3414,67129.0,Yes
Champaign.tsp,LS,100.0,46.0,1.6475,68691.0,Yes
Champaign.tsp,LS,100.0,47.0,1.377,67646.0,Yes
Champaign.tsp,LS,100.0,48.0,1.372,61499.0,Yes
Champaign.tsp,LS,100.0,49.0,1.3495,64941.0,Yes
Champaign.tsp,LS,100.0,50.0,1.3044,72069.0,Yes
Champaign.tsp,LS,100.0,51.0,1.3452,75596.0,Yes
Champaign.tsp,LS,250.0,42.0,1.3234,67196.0,Yes
Champaign.tsp,LS,250.0,43.0,1.3011,62176.0,Yes
Champaign.tsp,LS,250.0,44.0,1.2777,69885.0,Yes
Champaign.tsp,LS,250.0,45.0,1.3334,67129.0,Yes
Champaign.tsp,LS,250.0,46.0,1.3151,68691.0,Yes
Champaign.tsp,LS,250.0,47.0,1.5405,67646.0,Yes
Champaign.tsp,LS,250.0,48.0,1.5025,61499.0,Yes
Champaign.tsp,LS,250.0,49.0,1.3311,64941.0,Yes
Champaign.tsp,LS,250.0,50.0,1.3475,72069.0,Yes
Champaign.tsp,LS,250.0,51.0,1.3494,75596.0,Yes
Champaign.tsp,LS,500.0,42.0,1.2845,67196.0,Yes
Champaign.tsp,LS,500.0,43.0,1.348,62176.0,Yes
Champaign.tsp,LS,500.0,44.0,1.3139,69885.0,Yes
Champaign.tsp,LS,500.0,45.0,1.3184,67129.0,Yes
Champaign.tsp,LS,500.0,46.0,1.293,68691.0,Yes
Champaign.tsp,LS,500.0,47.0,1.2871,67646.0,Yes
Champaign.tsp,LS,500.0,48.0,1.3638,61499.0,Yes
Champaign.tsp,LS,500.0,49.0,1.6651,64941.0,Yes
Champaign.tsp,LS,500.0,50.0,1.3699,72069.0,Yes
Champaign.tsp,LS,500.0,51.0,1.3187,75596.0,Yes
Cincinnati.tsp,LS,5.0,42.0,1.1488,277952.0,Yes
Cincinnati.tsp,LS,5.0,43.0,1.356,277952.0,Yes
Cincinnati.tsp,LS,5.0,44.0,1.205,277952.0,Yes
Cincinnati.tsp,LS,5.0,45.0,1.1759,280243.0,Yes
Cincinnati.tsp,LS,5.0,46.0,1.1653,277952.0,Yes
Cincinnati.tsp,LS,5.0,47.0,1.1358,277952.0,Yes
