ATQH_w,DVPQH_w,SALEQH_w,SEQQH_w,IBQH_w,NIQH_w,XIDOQH_w,IBADJQH_w,IBCOMQH_w,ICAPTQH_w,TEQQH_w,PSTKRQH_w,PPENTQH_w,CEQQH_w,PSTKQH_w,DLTTQH_w,PIQH_w,TXTQH_w,NOPIQH_w,AOQH_w,LTQH_w,DOQH_w,LOQH_w,CHEQH_w,ACOQH_w,DVQH_w,LCOQH_w,APQH_w,intercept,month_end
214307931.90063813,7013413494.326622,-40695034.23726168,-1484905389.4236026,3468529872.536995,-787322988.9488338,10975603474.708412,-1129952065.7771828,-595610258.6514117,-325203805.71620107,-47.743458650291764,14229531158.537727,-37811719.10129202,1593611432.24928,941547959.9654605,298552146.64937645,-857218008.9694992,3164734010.143612,615185072.8169491,-31734449.67872147,-103768971.24091728,915360139.4843366,-245652902.4263134,34514562.66730679,-495153285.29368126,-7.084377517014672e-07,-194866949.59544268,-138791949.8112739,656150707.9072425,1990-04-30
203643777.2522267,-5324168740.77908,-33998481.74725693,-1154334015.841781,2714540307.9325676,-1419268088.1329205,14880758353.364166,1830736081.6790106,-3337097090.524124,-312547920.3759186,-16.846713333261018,5069973572.248721,-70766808.84624876,1274201587.066949,1989716001.1876762,275192512.67711234,32275960.04302968,2506768776.674421,668059651.4014783,-62188565.15379298,-66995809.67504437,-24904702424.21566,-180506736.44693947,11742511.123052297,-317300976.94035363,-1.0070491256119715e-07,-177163580.35012442,-197009018.9849333,608706626.4897974,1990-05-31
242818464.40094194,69569302391.15833,-24346166.765488017,-1604056644.4190662,-28078720732.593422,-3569196966.541184,12512341017.412798,15000024569.008074,16125920252.497595,-471003601.1701441,-29.476214627816763,3499347578.6008835,-66266951.68513379,1848281058.9808164,2568724916.0960283,406353620.851946,224654969.2931927,2616600580.736381,625705808.9213661,-65600931.154438294,-84381299.86733842,-2236613855.05589,-239236190.37980714,16067795.22508086,-502810896.8732889,-3.416217501150114e-07,-236857125.10020024,-227172266.0930788,602488248.9441186,1990-06-29
445686094.4587783,39411643199.545364,71866852.0658885,-3254619001.6632915,6055613108.063526,-9482873997.771362,-19264453870.995728,2693950893.268541,5926986977.148799,-443826576.1749511,3116.6890604836067,7680692776.974348,-34953076.41528121,3245879329.491452,2514367326.1562967,321642461.4760102,-5392060894.886957,6331129657.117525,-1573189264.4633183,-19795465.30491536,-285845107.7189481,75366781755.86546,-167783230.95195627,124496162.63662837,-520194024.81964874,-2.4529861221952e-07,-295099015.91181123,-338405959.8181873,799178314.8491491,1990-07-31
493834994.2413415,29179689636.320812,81299990.74616629,-3928738902.0247893,11367699264.376596,1449836822.6787477,-47197335563.42783,5054866094.444921,-10147271368.379248,-293768571.47358394,14637.729277845378,26701926176.411816,-55032426.40782746,3738384010.839819,3903233431.403386,224639735.51791075,-8228762128.873136,10054922986.107504,-3512639056.881478,-73874140.64904876,-359369477.0820151,52398054247.95493,-205772764.1030685,104488204.3850332,-1228424020.8094256,-1.2945609886785795e-06,-320818605.7294004,-294295646.60184807,827772084.5611527,1990-08-31
563518020.9487894,33218566157.60055,129985691.85828885,-3147590038.230237,1699502800.4694283,2199861207.3018675,-47601421445.51917,8483936586.665189,-4889203116.048661,-629136367.4665474,631.795224880273,16447890803.733667,10544078.313884733,3171297258.2759213,2626266934.61392,580984872.1295489,-7763616711.992327,8830203126.141094,-2746489587.6523376,5359648.793674474,-482036576.11171925,54500206328.536,-165324001.78609502,130859378.04669416,-798458658.15673,4.08550030299159e-06,-369699953.391595,-224908726.0501825,856445102.4894692,1990-09-28
97790727.53015584,22797470313.27624,-8658302.083732836,151650077.3113125,-8010929343.544574,3671117299.4425,-22761727680.5904,-4285666364.7533317,9187911061.938307,-550188930.722486,2601.8508733418735,14362599616.57136,-82744644.20115797,352187469.838962,-1387473378.3902762,467687382.71265835,60047670.33275179,1033257032.821404,523031553.27707344,-146166374.5231493,148111421.6465578,37669957615.78316,-232803301.01254046,-91656323.65782368,-1351303458.4946527,-9.079670699832708e-07,-379390679.0304994,-288622632.88242376,1201103356.6493957,1990-10-31
-771206.7790280095,31044820675.151012,10287994.63759111,-1010831733.4697952,-5919407206.395259,3180459749.1260686,-14649143760.51597,-2268434934.0959296,7869649500.475837,-286347471.5169017,70.30478559245891,20337430780.724808,-94000628.94317445,1356046472.8760967,1858314517.537743,186468088.67196125,-2420860935.5028114,4244600053.8019195,-993669638.3309091,-137201027.4180718,259230622.68694186,26999606045.456955,-240125114.56264722,45617331.94285272,-2245599224.0816464,1.6239925022038314e-06,-513832445.57786506,-246215771.69206288,1100904751.6455734,1990-11-30
25312778.96781679,25055283117.45175,29895692.553755905,-1301411058.8054912,-19006880686.055134,-1810697082.4756985,592516976.9207599,-21463266397.77646,47707050663.26181,-585372835.6926426,-92.61496286194,19411742093.019756,-130816745.29740013,1951831309.4919007,5356409304.368674,562896022.8618801,-4656781461.659855,5708324412.030008,-434382101.86025435,-179061298.03111747,189073875.936151,53657883424.136604,179552489.45989093,-53387232.77762711,-1519427026.697496,-4.834156316064123e-06,-581037313.6084374,-184554024.16799325,1276851426.0915341,1990-12-31
75332583.93309912,4999816409.043149,18684655.158229977,-688866762.8029873,3252072381.4918346,494804570.506054,-10308547828.278362,-20252059126.31001,16979889669.45438,-795229882.0159837,2733.37150969041,23071051776.587963,-103966565.81037505,1494402287.430049,4202022756.296897,750655641.5088558,307767409.41833895,286391724.7607588,959505298.59605,-125181423.8368109,150385500.86183378,51670054143.280495,-38447496.323556654,-155056362.41773358,-1234019930.3252995,1.5113959789994466e-06,-567052406.3987776,-254469262.74648482,1166589273.2472677,1991-01-31
66107979.8830257,-4963497900.168232,-22472061.14851238,-2235418788.984625,3633076594.1736155,-130490936.79973166,6127694380.277435,-20960176359.212677,18376817500.029015,-525702413.9065415,343.59856842025897,18373861961.908195,-133558770.08931957,2822404789.1724606,2447449454.071684,557345487.8398378,-41065402.09905883,450799749.62912995,-733152043.8099179,-194264459.27448875,108373443.69062841,42321527031.1836,194191916.38719228,-152590454.8203376,-1193306175.4421976,4.882685263661475e-07,-419624637.96554935,-177681192.12648535,1238274424.0482788,1991-02-28
