month_end,n_obs,r2,median_mispricing,mad_mispricing,coef_dispersion
1989-10-31,357,-11347.131227615824,-0.9371474849325458,0.06967857804352584,6722048867.00357
1989-11-30,350,-10356.570248712958,-0.9424473994806111,0.0680589484426023,3027010998.008222
1989-12-29,351,-22839.462167529204,-0.9452072608217134,0.05964490303878056,7614522455.642548
1990-01-31,343,-10463.28325621373,-0.9529199353653297,0.059210121416002015,7086541256.912826
1990-02-28,339,-10944.928752694314,-0.95223259283513,0.06195949665404277,33063492075.47553
1990-03-30,339,-11556.275743640856,-0.9539021526133794,0.05649904505724901,17858348065.02774
1990-04-30,325,-3240.008257341215,-0.958250361878825,0.0747514082502796,3564447854.015455
1990-05-31,338,-3043.8501301163324,-0.9477341932248833,0.07133876668133843,5770471658.842254
1990-06-29,344,-4289.494785502411,-0.9616749677041404,0.07193600001778472,14693319614.347078
1990-07-31,345,-17795.498143550176,-0.9654496171572439,0.0599045180014649,16374492223.782013
1990-08-31,322,-9264.056330655001,-0.9790072035685538,0.05410038054315547,15647838248.670317
1990-09-28,306,-8426.058433201875,-0.9704265934325079,0.05179935333918123,15518787276.974535
1990-10-31,290,-5726.4084401121845,-0.9734671320893173,0.05353456812062257,9922894177.025127
1990-11-30,293,-8252.201775817744,-0.9696327776242359,0.052475134755173514,9088287837.937336
1990-12-31,291,-11835.696707872967,-0.9533097323707731,0.05732357091759077,15418905687.972008
1991-01-31,303,-7527.729722936458,-0.9561855639667634,0.07158506277679666,11757500178.060163
1991-02-28,321,-4931.297910046287,-0.967444893319983,0.06102752403556766,10104362165.054302
1991-03-28,329,-9249.838211648166,-0.9754538770076111,0.05241973548649481,26072129511.755306
1991-04-30,336,-3610.8539868245275,-0.9596387374021187,0.04899060833004776,7682511332.121581
1991-05-31,341,-6774.009781048835,-0.9697131587785617,0.06082247577214239,4376678350.041258
1991-06-28,339,-7973.618002161647,-0.9750355804339432,0.052076972042041536,4966364880.767088
1991-07-31,364,-6272.817130174056,-0.965886999794775,0.0554789944800716,15888279427.11321
1991-08-30,364,-5668.026617834077,-0.9673350146831781,0.05358475809991453,9762450881.404598
1991-09-30,368,-5982.8442997039865,-0.9673467526767967,0.05033242826298795,13079889940.16782
1991-10-31,370,-5427.169139313359,-0.9625242423208262,0.056626332255001244,10190602662.02518
1991-11-29,366,-8806.681739046624,-0.954950498598066,0.06062055403096117,5408420386.903561
1991-12-31,374,-2019.6068678563854,-0.9534350909892528,0.07340684552593446,10965129846.674751
1992-01-31,384,-2522.6602773587724,-0.9504786407356363,0.06855994458659803,8752933798.548826
1992-02-28,394,-1938.5266331611947,-0.9515826630728773,0.0788153947362708,5759779708.046421
1992-03-31,395,-2289.7992028772355,-0.9608483022588591,0.06064366519177067,10021333156.856504
1992-04-30,384,-1298.3359387282824,-0.9446883197317455,0.07414636864190666,8802425850.059374
1992-05-29,376,-1737.4157234224008,-0.9498725701634205,0.06785592895366993,5727912517.133831
1992-06-30,373,-793.3804468215858,-0.9503797543256373,0.07152687019045356,7507436633.678075
1992-07-31,386,-1714.1279906637571,-0.9548471202533741,0.07530003912814276,10035482177.79366
1992-08-31,377,-2569.5637343181006,-0.9553405017618908,0.07526767020267178,14017376235.895672
1992-09-30,374,-1995.4593203395486,-0.943610006569692,0.06333609519707667,3607582904.7865276
1992-10-30,381,-1100.0617612319325,-0.9327005870757814,0.07583422925858008,4028847883.657687
1992-11-30,397,-1636.4159712721078,-0.9450546771009144,0.07574074948401066,2362207728.975314
1992-12-31,410,-10764.500031848795,-0.9390404508878186,0.07358625268179575,7230974440.265565
1993-01-29,416,-8432.132624383612,-0.9459550824197587,0.07112275255024547,7705366869.802607
1993-02-26,408,-30442.688975511795,-0.9514329992851087,0.05722472192823996,9964250740.659433
1993-03-31,407,-1917.152131117716,-0.9426251984361642,0.06900398393988705,12667223985.902441
1993-04-30,396,-1867.1513392958338,-0.9459777919845198,0.06636816283231523,14502813224.912706
1993-05-28,400,-2066.266764513739,-0.9554969866610514,0.06730420823139027,8379306410.142925
1993-06-30,399,-1508.301009914981,-0.9461475043965573,0.0636148984779561,14869922079.094152
1993-07-30,419,-2051.637881347406,-0.9501735950778277,0.06485514805024806,24799232025.17125
1993-08-31,431,-726.8712033675744,-0.9476666574639832,0.07746381235489619,8979605215.081356
1993-09-30,435,-982.916388849144,-0.9384737144048074,0.07175016227406772,11337423287.825617
1993-10-29,442,-7522.544753129507,-0.9433339405219736,0.07173420103641209,5392903061.925546
1993-11-30,429,-2669.408810370635,-0.9372356854161622,0.0716282072496196,7219125817.3251705
1993-12-31,419,-41011.06628823453,-0.9482951893959867,0.0615577171910654,12899179812.389212
1994-01-31,427,-7411.655138183366,-0.9405784870511251,0.06426738161723233,7472094724.692763
1994-02-28,429,-88523.21876316094,-0.9435504951195118,0.06855725729771789,6619202291.200681
1994-03-31,422,-385.46119096453884,-0.9246473698508073,0.08360219664352353,3094725032.9840293
1994-04-29,416,-467.4256175958841,-0.9354059367653094,0.08869495886927387,4139811642.811076
1994-05-31,410,-562.752674137721,-0.9197126684212651,0.08968735451018517,2919346319.5230603
1994-06-30,410,-702.7215008403139,-0.9197815676236079,0.08885373367679994,4854496030.169754
1994-07-29,419,-21843.29449310419,-0.9316872817893296,0.08553042328363558,17676918855.485405
1994-08-31,428,-2834.3388277086306,-0.9291186545404596,0.09616519711120175,6220780794.1856365
1994-09-30,429,-1312.6406171024034,-0.9211533217254393,0.08264169457837367,13135538342.454369
1994-10-31,433,-1963.215992271551,-0.9458434887279545,0.08198674553006002,14605274392.283298
1994-11-30,425,-835.3479448472928,-0.9361324250638112,0.09734926957142487,15331190709.425756
1994-12-30,413,-1018.149596901316,-0.9483491125456085,0.07150957637704558,13109095804.571096
1995-01-31,419,-1493.5754187608209,-0.9414862849175248,0.06952868131465684,13193574580.2819
1995-02-28,419,-1724.3095957158544,-0.9340269610683934,0.07019289881941149,18256111104.05157
1995-03-31,427,-1382.4681413524002,-0.9408763674412634,0.07627662030245863,16534448637.545553
1995-04-28,430,-2584.7660840286208,-0.9372569392875112,0.06673275039750776,14957927661.166653
1995-05-31,440,-2060.818508284339,-0.9271230477245868,0.07779136183389174,16387076384.739405
1995-06-30,444,-655.3532170499668,-0.9327009768294814,0.07688152182673591,14866167777.650507
1995-07-31,482,-2298.033857509585,-0.9138592362075741,0.09065298825567791,9837325860.943192
1995-08-31,479,-3220.465470662983,-0.9346133071960063,0.07328615025814933,12440834679.318424
1995-09-29,477,-4714.308748176112,-0.9421832455050752,0.07644625102389102,26538718695.513577
1995-10-31,471,-560.4429725605703,-0.9196199573136628,0.09275831664483514,8189735649.732268
1995-11-30,469,-1429.2984991026583,-0.9293926407891023,0.07895785294616908,17518289361.79203
1995-12-29,470,-548.5457518185873,-0.9330461882369048,0.07212506572834143,7265148177.312274
1996-01-31,471,-247.31592064877265,-0.9250091745998059,0.0778872184429864,5709934744.976536
1996-02-29,467,-170.34580266598735,-0.9217924863743094,0.08995522139552325,5097385286.673383
1996-03-29,467,-347.51274605064845,-0.9182425469223244,0.0816285091807144,15164686020.08017
1996-04-30,479,-95.64323908366254,-0.9342104440364101,0.08679107093063809,6317530171.845753
1996-05-31,490,-234.2017897513581,-0.9335264369328444,0.08508995976904171,11647107849.544283
1996-06-28,478,-276.56130533514596,-0.9304054823035106,0.08864039060444007,13311786953.068666
1996-07-31,468,-7461.347493060861,-0.9216150307294859,0.08953976815894227,10688539179.90127
1996-08-30,470,-52777.71195904842,-0.9340790691816016,0.06679664227150917,20365867833.01168
1996-09-30,474,-163.60765251007055,-0.9241323967759253,0.08402155875565254,7562517003.554676
1996-10-31,463,-3783.964391564951,-0.9320920072360239,0.08337343165426425,9068390542.622055
1996-11-29,462,-3879.0577745635387,-0.9360254281414961,0.08118838684687002,11204151367.868372
1996-12-31,461,-527.1369835665989,-0.9240401317502643,0.09222596821062712,10437939382.638556
1997-01-31,458,-749.571528883323,-0.9246922981847637,0.08736281479825614,10860174276.970428
1997-02-28,454,-485.4694390096639,-0.9409836192731411,0.08825095418083695,6104006623.87353
1997-03-31,439,-150.59543131276862,-0.9326371076391516,0.08570949308941145,5188764115.518292
1997-04-30,435,-101.4873074967508,-0.9257621366007881,0.08555590151579107,5658835870.122432
1997-05-30,443,-298.69781003758595,-0.9294466272245113,0.0892485954726906,7466226143.8867235
1997-06-30,440,-133.71594022619692,-0.9402409248787265,0.08225968530872063,5301283420.112484
1997-07-31,443,-2707.930923897332,-0.9448345134028272,0.0815560221749928,10836776082.269264
1997-08-29,445,-386.68162000399343,-0.9367423884665951,0.09195409113053543,7434690214.330914
1997-09-30,450,-236.45245638761995,-0.9383780923550127,0.07648144963522174,6970909638.378208
1997-10-31,440,-5510.493095889777,-0.9407826612343304,0.0689187155846368,29325751413.865158
1997-11-28,437,-399.7249717094201,-0.9387015002418052,0.08101181036654714,11786484103.625774
1997-12-31,431,-1487.1004978930423,-0.9398563090694119,0.08839274887329474,13416581606.151041
1998-01-30,424,-3166.6856067647445,-0.9507607446835562,0.08575407812453095,12615816971.545635
1998-02-27,425,-470.394712555797,-0.9247407853694839,0.10172003243517158,7568935681.394538
1998-03-31,437,-41.53081811218035,-0.9330114789240159,0.07898774155811006,7159931146.960996
1998-04-30,431,-67.3664163692627,-0.9344824693995673,0.08920930749291323,8007133343.813058
1998-05-29,417,-93.09006396639926,-0.9374754212172176,0.09547946116086958,13775087909.557579
1998-06-30,405,-224.38010595321418,-0.9315730713067075,0.08413870504433174,20277356450.83237
1998-07-31,399,-70.2100555163079,-0.9392289062786777,0.0797517053578024,13642064785.268497
