step,omega_l,omega_r,dt
79,6.280000000003838,6.181875000009995,0.064
80,6.280000000003838,6.280000000003838,0.064
81,6.280000000003838,6.280000000003838,0.064
82,6.181874999981574,6.280000000003838,0.064
83,6.280000000003838,6.279999999975416,0.064
84,6.280000000003838,6.181875000009995,0.064
85,6.280000000003838,6.280000000003838,0.064
86,6.280000000003838,6.280000000003838,0.064
87,6.181875000009995,6.280000000003838,0.064
88,6.279999999975416,6.181874999981574,0.064
89,6.280000000003838,6.280000000003838,0.064
90,6.280000000003838,6.280000000003838,0.064
91,6.181875000009995,6.280000000003838,0.064
92,6.280000000003838,6.280000000003838,0.064
93,6.279999999975416,6.181874999981574,0.064
94,6.280000000003838,6.280000000003838,0.064
95,6.280000000003838,6.280000000003838,0.064
96,6.181875000009995,6.280000000003838,0.064
97,6.280000000003838,6.280000000003838,0.064
98,6.280000000003838,6.181875000009995,0.064
99,6.279999999975416,6.279999999975416,0.064
100,6.280000000003838,6.280000000003838,0.064
101,6.181875000009995,6.280000000003838,0.064
102,6.280000000003838,6.181875000009995,0.064
103,6.280000000003838,6.280000000003838,0.064
104,6.280000000003838,6.279999999975416,0.064
105,6.181874999981574,6.280000000003838,0.064
106,6.280000000003838,6.280000000003838,0.064
107,6.280000000003838,6.181875000009995,0.064
108,6.280000000003838,6.280000000003838,0.064
109,6.280000000003838,6.280000000003838,0.064
110,6.181874999981574,6.279999999975416,0.064
111,6.280000000003838,6.280000000003838,0.064
112,6.280000000003838,6.181875000009995,0.064
113,6.280000000003838,6.280000000003838,0.064
114,6.280000000003838,6.280000000003838,0.064
115,6.181874999981574,6.280000000003838,0.064
116,6.280000000003838,6.181874999981574,0.064
117,6.280000000003838,6.280000000003838,0.064
118,6.280000000003838,6.280000000003838,0.064
119,6.181875000009995,6.280000000003838,0.064
120,6.280000000003838,6.280000000003838,0.064
121,6.279999999975416,6.181874999981574,0.064
122,6.280000000003838,6.280000000003838,0.064
123,6.280000000003838,6.280000000003838,0.064
124,6.181875000009995,6.280000000003838,0.064
125,6.280000000003838,6.280000000003838,0.064
126,6.280000000003838,6.181874999981574,0.064
127,6.279999999975416,6.280000000003838,0.064
128,6.280000000003838,6.280000000003838,0.064
129,6.181875000009995,6.280000000003838,0.064
130,6.280000000003838,6.181875000009995,0.064
131,6.280000000003838,6.280000000003838,0.064
132,6.279999999975416,6.279999999975416,0.064
133,6.181875000009995,6.280000000003838,0.064
134,6.280000000003838,6.280000000003838,0.064
135,6.280000000003838,6.181875000009995,0.064
136,6.280000000003838,6.280000000003838,0.064
137,6.280000000003838,6.280000000003838,0.064
138,6.181874999981574,6.279999999975416,0.064
139,6.280000000003838,6.280000000003838,0.064
140,6.280000000003838,6.181875000009995,0.064
141,6.280000000003838,6.280000000003838,0.064
142,6.280000000003838,6.280000000003838,0.064
143,6.181874999981574,6.279999999975416,0.064
144,6.280000000003838,6.181875000009995,0.064
145,6.280000000003838,6.280000000003838,0.064
