industry,year,beta_mean,beta_std,N,window
Unknown,2003,1.0964022505918753,,1,12m
Unknown,2014,1.5655489679870265,2.9682345720405254,5,12m
Unknown,2015,0.9910759038432223,1.3199422435974888,7,12m
Unknown,2016,0.5453481797010127,3.4836598032306836,4,12m
Unknown,2018,0.08852907535478037,0.17703398717393348,4,12m
Unknown,2019,0.4417970160456111,0.6506363261479731,6,12m
Unknown,2020,1.1340196781192085,0.6136499882533792,8,12m
Unknown,2021,-0.6763191152917769,1.3265742686731854,9,12m
Unknown,2022,0.32375758394653675,0.8094199563976581,9,12m
Unknown,2023,0.9112032719691283,1.5183656373789616,10,12m
Wholesale Trade,1996,1.3428404948080281,1.799398812828747,10,12m
Wholesale Trade,1997,1.044869182601023,0.7954029799431735,10,12m
Wholesale Trade,1998,2.5681141114904786,3.601212707648695,9,12m
Wholesale Trade,1999,1.3351528579770306,1.0354906217837636,10,12m
Wholesale Trade,2000,1.102662301799736,1.347318460881243,9,12m
Wholesale Trade,2001,1.2630709948905459,0.5940669637636582,9,12m
Wholesale Trade,2002,0.6864795532098116,0.9232682293003893,10,12m
Wholesale Trade,2003,0.8313820583966297,1.0952379162162267,9,12m
Wholesale Trade,2004,1.854837981685914,1.7690074789310097,10,12m
Wholesale Trade,2005,1.655768709664618,1.208038885197069,10,12m
Wholesale Trade,2006,1.7912063411401193,2.3494751593281538,7,12m
Wholesale Trade,2007,2.209206548817508,0.8569957907263023,9,12m
Wholesale Trade,2008,1.05150230496647,0.7858648088587835,10,12m
Wholesale Trade,2009,1.4459779204366257,1.8647916877556567,10,12m
Wholesale Trade,2010,0.5884497702919604,0.8684257315404307,10,12m
Wholesale Trade,2011,1.39423401463594,0.8138401889310817,10,12m
Wholesale Trade,2012,0.6877600073810224,1.1152312804799929,10,12m
Wholesale Trade,2013,1.2132024661759957,1.0624562011343066,10,12m
Wholesale Trade,2014,0.999713763787347,1.9519274874623107,8,12m
Wholesale Trade,2015,1.5801819197330267,1.5786886278383139,10,12m
Wholesale Trade,2016,2.6800211230140354,2.0430317035066774,10,12m
Wholesale Trade,2017,1.9241528677809376,1.661551917675422,10,12m
Wholesale Trade,2018,0.6113120824204165,0.9350072861183558,10,12m
Wholesale Trade,2019,0.9170491800813239,1.2055955962749654,10,12m
Wholesale Trade,2020,1.1497023265832018,0.5703541200144069,10,12m
Wholesale Trade,2021,0.8790235222104867,0.7920913026932996,10,12m
Wholesale Trade,2022,1.318544036466901,0.7707861541803019,10,12m
Wholesale Trade,2023,1.345676835494268,0.7229587795194493,10,12m
"Agriculture, Forestry & Fishing",1996,0.6046732104948688,1.0667268219846435,6,24m
"Agriculture, Forestry & Fishing",1997,1.1847186850875255,1.1021145667609735,9,24m
"Agriculture, Forestry & Fishing",1998,-0.4598165180207209,2.2879900867681804,8,24m
"Agriculture, Forestry & Fishing",1999,0.7757977623878206,0.3313060276369069,9,24m
"Agriculture, Forestry & Fishing",2000,-0.00731866398790255,0.7587692115681114,10,24m
"Agriculture, Forestry & Fishing",2001,0.43607748895855175,0.6922606443646543,10,24m
"Agriculture, Forestry & Fishing",2002,0.28757450917332716,0.4586428353481731,8,24m
"Agriculture, Forestry & Fishing",2003,0.28295945654950133,0.7323393521350768,10,24m
"Agriculture, Forestry & Fishing",2004,1.176892921837997,1.2519705411946782,8,24m
"Agriculture, Forestry & Fishing",2005,0.9258782689541948,1.1451905478471969,8,24m
"Agriculture, Forestry & Fishing",2006,0.2732638102661808,1.125182457695072,9,24m
"Agriculture, Forestry & Fishing",2007,0.5000725452551521,0.6119162341542935,7,24m
"Agriculture, Forestry & Fishing",2008,1.1726289529211196,0.6746474868567297,7,24m
"Agriculture, Forestry & Fishing",2009,1.331474356794533,1.0331165778244968,10,24m
"Agriculture, Forestry & Fishing",2010,1.4167906484921144,0.9322358649553101,10,24m
"Agriculture, Forestry & Fishing",2011,1.1557628202798627,0.6545233304229302,10,24m
"Agriculture, Forestry & Fishing",2012,1.1776159579198853,0.7075181003654585,7,24m
"Agriculture, Forestry & Fishing",2013,1.3131922228645327,0.352973732843486,6,24m
"Agriculture, Forestry & Fishing",2014,1.5697010303611456,0.960435220643429,7,24m
"Agriculture, Forestry & Fishing",2015,0.9729295039533612,1.038665076606748,9,24m
"Agriculture, Forestry & Fishing",2016,1.1898530718790037,0.9006157146458517,10,24m
"Agriculture, Forestry & Fishing",2017,1.0154423441145808,1.1627787995411816,8,24m
"Agriculture, Forestry & Fishing",2018,0.628190686914309,0.4318039626150761,6,24m
"Agriculture, Forestry & Fishing",2019,0.7843583290086955,0.5463613948552251,9,24m
"Agriculture, Forestry & Fishing",2020,1.0072831058031855,1.3160430935789618,10,24m
"Agriculture, Forestry & Fishing",2021,1.0364175700895588,1.4393906872474451,9,24m
"Agriculture, Forestry & Fishing",2022,0.918735105162936,0.6256023823128062,9,24m
"Agriculture, Forestry & Fishing",2023,1.1061988223077226,0.6578605100608441,9,24m
Construction,1996,0.7011195504875084,1.2130739674861541,6,24m
Construction,1997,0.9855306252305599,0.9443140180420285,8,24m
Construction,1998,0.6695537820537328,0.6848996825913812,8,24m
Construction,1999,0.4430940868985801,1.3684082671280546,9,24m
Construction,2000,0.9310325658645104,1.5831107166851424,9,24m
Construction,2001,1.2992535100310714,1.6208602695685637,10,24m
Construction,2002,1.0025373508668571,0.6918489197498118,10,24m
