Date,Signal,Position,AccountValue
2010-09-17,0,20,10038.825001716614
2010-09-20,0,20,10044.439282417297
2010-09-21,0,20,10044.824986457825
2010-09-22,0,20,10047.667851448059
2010-09-23,0,20,10048.503556251526
2010-09-24,0,20,10050.932126045227
2010-09-27,0,20,10050.103554725647
2010-09-28,-1,0,10047.032132148743
2010-09-29,0,0,10047.032132148743
2010-09-30,0,0,10047.032132148743
2010-10-01,0,0,10047.032132148743
2010-10-04,0,0,10047.032132148743
2010-10-05,0,0,10047.032132148743
2010-10-06,0,0,10047.032132148743
2010-10-07,1,10,10047.032132148743
2010-10-08,1,20,10048.764271736145
2010-10-11,0,20,10049.68569278717
2010-10-12,0,20,10051.9571352005
2010-10-13,0,20,10053.099999427795
2010-10-14,0,20,10054.65000629425
2010-10-15,0,20,10063.528561592102
2010-10-18,0,20,10065.857148170471
2010-10-19,0,20,10059.778561592102
2010-10-20,0,20,10060.521416664124
2010-10-21,0,20,10059.800000190735
2010-10-22,-1,0,10058.335709571838
2010-10-25,0,0,10058.335709571838
2010-10-26,0,0,10058.335709571838
2010-10-27,0,0,10058.335709571838
2010-10-28,0,0,10058.335709571838
2010-10-29,0,0,10058.335709571838
2010-11-01,0,0,10058.335709571838
2010-11-02,0,0,10058.335709571838
2010-11-03,1,10,10058.335709571838
2010-11-04,1,20,10060.289282798767
2010-11-05,0,20,10059.47497844696
2010-11-08,0,20,10060.53927898407
2010-11-09,0,20,10058.724989891052
2010-11-10,0,20,10060.11785030365
2010-11-11,0,20,10059.132151603699
2010-11-12,-1,0,10052.974982261658
2010-11-15,0,0,10052.974982261658
2010-11-16,0,0,10052.974982261658
2010-11-17,0,0,10052.974982261658
2010-11-18,0,0,10052.974982261658
2010-11-19,0,0,10052.974982261658
2010-11-22,0,0,10052.974982261658
2010-11-23,0,0,10052.974982261658
2010-11-24,0,0,10052.974982261658
2010-11-26,0,0,10052.974982261658
2010-11-29,1,10,10052.974982261658
2010-11-30,0,10,10050.932126045227
2010-12-01,0,10,10052.807126045227
2010-12-02,0,10,10053.432126045227
2010-12-03,0,10,10053.178553581238
2010-12-06,0,10,10054.146418571472
2010-12-07,0,10,10053.453555107117
2010-12-08,0,10,10054.45354938507
2010-12-09,0,10,10054.007124900818
2010-12-10,0,10,10054.29283618927
2010-12-13,0,10,10054.689259529114
2010-12-14,0,10,10054.196410179138
2010-12-15,0,10,10054.221415519714
2010-12-16,0,10,10054.53926563263
2010-12-17,0,10,10054.310698509216
2010-12-20,0,10,10054.88212108612
2010-12-21,0,10,10055.59283733368
2010-12-22,1,20,10055.93569278717
2010-12-23,0,20,10054.821419715881
2010-12-27,0,20,10055.592827796936
2010-12-28,0,20,10056.15713596344
2010-12-29,0,20,10056.028561592102
2010-12-30,-1,0,10054.86427783966
2010-12-31,0,0,10054.86427783966
2011-01-03,0,0,10054.86427783966
2011-01-04,0,0,10054.86427783966
2011-01-05,1,10,10054.86427783966
2011-01-06,0,10,10054.767861366272
2011-01-07,0,10,10055.621428489685
2011-01-10,0,10,10057.882142066956
2011-01-11,0,10,10057.59286403656
2011-01-12,0,10,10058.585705757141
2011-01-13,0,10,10059.03570652008
2011-01-14,1,20,10060.035710334778
2011-01-18,0,20,10054.44284915924
2011-01-19,-1,0,10053.150010108948
2011-01-20,0,0,10053.150010108948
2011-01-21,0,0,10053.150010108948
2011-01-24,0,0,10053.150010108948
2011-01-25,0,0,10053.150010108948
2011-01-26,1,10,10053.150010108948
2011-01-27,0,10,10052.921433448792
2011-01-28,-1,0,10050.382142066956
2011-01-31,0,0,10050.382142066956
2011-02-01,0,0,10050.382142066956
2011-02-02,0,0,10050.382142066956
2011-02-03,0,0,10050.382142066956
2011-02-04,0,0,10050.382142066956
2011-02-07,0,0,10050.382142066956
2011-02-08,1,10,10050.382142066956
2011-02-09,1,20,10051.439290046692
2011-02-10,0,20,10048.853573799133
2011-02-11,0,20,10050.503582954407
2011-02-14,0,20,10052.167859077454
2011-02-15,0,20,10052.682137489319
2011-02-16,0,20,10054.989304542542
2011-02-17,0,20,10051.53929233551
2011-02-18,-1,0,10046.010727882385
2011-02-22,0,0,10046.010727882385
2011-02-23,0,0,10046.010727882385
2011-02-24,0,0,10046.010727882385
2011-02-25,1,10,10046.010727882385
2011-02-28,1,20,10047.814297676086
2011-03-01,0,20,10045.028576850891
2011-03-02,0,20,10047.035717964172
2011-03-03,0,20,10052.350010871887
2011-03-04,0,20,10052.664303779602
2011-03-07,0,20,10049.350018501282
2011-03-08,0,20,10049.63572025299
2011-03-09,0,20,10047.285714149475
2011-03-10,-1,0,10043.142857551575
2011-03-11,0,0,10043.142857551575
2011-03-14,0,0,10043.142857551575
2011-03-15,0,0,10043.142857551575
2011-03-16,0,0,10043.142857551575
2011-03-17,0,0,10043.142857551575
2011-03-18,0,0,10043.142857551575
