Date,Open,High,Low,Close,Adj Close,Change,Pct Change,Volume,Day VWAP,IV30,IV30 Change,IV30 Pct Change,Call Option Volume,Put Option Volume,Call Open Interest,Put Open Interest
4/29/2019,64.0255,64.8487,63.5855,64.81,64.81,0.939,0.0147,3618362,64.2705,23.216,-0.437,-0.0185,59856,37736,85911,95173
4/26/2019,63.6875,63.9455,63.25,63.871,63.871,0.504,0.008,1361419,63.6235,23.653,-1.591,-0.063,25446,13087,92396,104348
4/25/2019,63.5295,63.64,62.9,63.367,63.367,0.3645,0.0058,1567161,63.3394,25.244,0.758,0.031,19221,10898,88545,100011
4/24/2019,63.5495,63.7,62.9905,63.0025,63.0025,-0.527,-0.0083,1169797,63.3532,24.486,0.694,0.0292,15467,9376,85229,95856
4/23/2019,62.8,63.7215,62.5988,63.5295,63.5295,0.8415,0.0134,1593449,63.3405,23.792,0.729,0.0316,23896,13705,78853,92103
4/22/2019,61.8525,62.717,61.6685,62.688,62.688,0.6145,0.0099,954419,62.313,23.063,-0.817,-0.0342,13961,10730,75752,88103
4/18/2019,62.25,62.297,61.9705,62.0735,62.0735,0.0665,0.0011,1237788,62.1532,23.88,-0.955,-0.0385,16738,10648,91702,105132
4/17/2019,61.8375,62.2547,61.645,62.007,62.007,0.4115,0.0067,1518286,61.9958,24.835,0.824,0.0343,19838,12308,88257,100495
4/16/2019,61.5345,61.799,61.252,61.5955,61.5955,0.269,0.0044,1131099,61.5669,24.011,-0.434,-0.0178,14226,10503,86724,98605
4/15/2019,61.2345,61.4648,60.728,61.3265,61.3265,0.19,0.0031,1189974,61.1321,24.445,0.009,0.0004,16347,9786,83988,94742
4/12/2019,60.75,61.1525,60.6645,61.1365,61.1365,0.657,0.0109,1215610,60.924,24.436,-0.83,-0.0329,21986,9061,91830,101113
4/11/2019,60.4985,60.637,60.227,60.4795,60.4795,0.157,0.0026,849947,60.4537,25.266,0.129,0.0051,11368,6780,89718,99011
4/10/2019,60.283,60.4469,60.0331,60.3225,60.3225,0.188,0.0031,775456,60.2515,25.137,0.061,0.0024,10046,5451,88366,97277
4/9/2019,60.152,60.3575,59.919,60.1345,60.1345,-0.2795,-0.0046,983840,60.1204,25.076,0.456,0.0185,9704,6075,85860,95422
4/8/2019,60.5945,60.6975,60.2347,60.414,60.414,-0.1585,-0.0026,1087588,60.4287,24.62,-0.721,-0.0285,9451,8840,82605,91777
4/5/2019,60.9375,61.0195,60.5015,60.5725,60.5725,-0.4,-0.0066,1001044,60.7352,25.341,0.458,0.0184,20362,10772,92880,100539
4/4/2019,60.5645,61.0275,60.452,60.9725,60.9725,0.432,0.0071,1051089,60.8482,24.883,1.019,0.0427,13358,10434,90967,96892
4/3/2019,60.635,61.03,60.2537,60.5405,60.5405,0.2635,0.0044,1109614,60.6216,23.864,0.807,0.035,16764,12247,88991,93397
4/2/2019,60.0025,60.2905,59.562,60.277,60.277,0.328,0.0055,914413,60.0103,23.057,0.938,0.0424,12314,8694,84372,90166
4/1/2019,59.31,60.01,59.318,59.949,59.949,1.1045,0.0188,1385595,59.7516,22.119,1.404,0.0678,14905,9357,80517,87076
3/29/2019,59.0225,59.1985,58.319,58.8445,58.8445,0.231,0.0039,1544615,58.7252,20.715,0.327,0.016,21716,12858,88735,93835
3/28/2019,58.853,58.8625,58.1715,58.6135,58.6135,-0.287,-0.0049,1120122,58.5557,20.388,-0.35,-0.0169,13577,8532,85007,92462
3/27/2019,59.596,59.596,58.2115,58.9005,58.9005,-0.5915,-0.0099,1471402,58.8238,20.738,0.523,0.0259,17567,11191,80837,90298
3/26/2019,60.25,60.3825,59.088,59.492,59.492,-0.377,-0.0063,1537606,59.6823,20.215,-0.724,-0.0346,16867,8009,76427,87870
3/25/2019,60.0185,60.472,59.5002,59.869,59.869,-0.5135,-0.0085,1378849,59.978,20.939,0.189,0.0091,12290,7950,73266,84982
3/22/2019,61.5125,61.6815,60.3,60.3825,60.3825,-1.424,-0.023,1721133,60.8075,20.75,2.186,0.1178,23951,18098,85218,91460
3/21/2019,60.965,61.822,60.8287,61.8065,61.8065,0.485,0.0079,1407480,61.4281,18.564,-0.008,-0.0004,23580,10929,81635,88620
3/20/2019,60.0605,61.4995,59.9795,61.3215,61.3215,1.1985,0.0199,2075442,60.8164,18.572,0.178,0.0097,34165,14947,77779,85131
3/19/2019,59.619,60.1703,59.4728,60.123,60.123,0.6955,0.0117,1489407,59.8306,18.394,-0.229,-0.0123,19155,8664,73790,82609
3/18/2019,59.468,59.7475,59.0738,59.4275,59.4275,-0.0875,-0.0015,1222203,59.3995,18.623,0.627,0.0348,11112,9415,69970,78475
3/15/2019,59.9315,60.0863,59.3505,59.515,59.515,-0.1115,-0.0019,2593338,59.7243,17.996,0.178,0.01,24160,19683,90410,101423
3/14/2019,59.9855,60.235,59.5615,59.6265,59.6265,-0.3265,-0.0054,1365072,59.85,17.818,-0.07,-0.0039,12955,9061,87521,98877
3/13/2019,60.3315,60.3562,59.8955,59.953,59.953,0.0905,0.0015,1294354,60.1927,17.888,-0.286,-0.0157,14065,9396,84974,96117
3/12/2019,59.137,60.2855,59.115,59.8625,59.8625,0.8995,0.0153,2110979,59.9235,18.174,-0.146,-0.008,25037,16709,82036,92327
3/11/2019,57.6,58.9955,57.5785,58.963,58.963,1.4645,0.0255,1501633,58.494,18.32,-2.588,-0.1238,12827,9325,80008,89544
3/8/2019,56.6835,57.6725,56.51,57.4985,57.4985,-0.044,-0.0008,1184732,57.2107,20.908,0.375,0.0183,16598,13540,87214,95685
3/7/2019,58.025,58.179,57.0858,57.5425,57.5425,-0.7045,-0.0121,1504328,57.5359,20.533,1.042,0.0535,17480,12192,85241,93327
3/6/2019,58.588,58.737,58.1525,58.247,58.247,-0.2125,-0.0036,1180052,58.4086,19.491,0.824,0.0441,18183,8998,82874,91080
3/5/2019,57.9,58.8245,57.651,58.4595,58.4595,0.7885,0.0137,2004723,58.294,18.667,-0.318,-0.0168,23763,13821,77417,87217
3/4/2019,57.65,58.276,56.9125,57.671,57.671,0.245,0.0043,1774467,57.596,18.985,0.311,0.0167,18087,12824,73997,83275
3/1/2019,56.605,57.5,56.55,57.426,57.426,1.0985,0.0195,1704258,57.1273,18.674,-0.515,-0.0268,21576,13209,79396,90099
2/28/2019,56.0025,56.6995,55.9205,56.3275,56.3275,0.183,0.0033,1371355,56.3691,19.189,-0.224,-0.0115,11885,9544,76497,87007
2/27/2019,55.699,56.2865,55.428,56.1445,56.1445,0.044,0.0008,1104881,55.9169,19.413,0.177,0.0092,8528,5852,75189,85825
2/26/2019,55.7185,56.3218,55.335,56.1005,56.1005,0.234,0.0042,1751261,55.8364,19.236,-0.125,-0.0065,9153,8082,73287,83111
2/25/2019,56.215,56.27,55.7055,55.8665,55.8665,0.0385,0.0007,1310362,55.9858,19.361,-0.335,-0.017,9612,7722,70174,80023
2/22/2019,55.4825,55.8625,55.025,55.828,55.828,0.6175,0.0112,1471783,55.5511,19.696,-1.179,-0.0565,14362,10266,78172,86656
2/21/2019,55.939,55.9575,54.899,55.2105,55.2105,-0.819,-0.0146,1663980,55.2323,20.875,0.857,0.0428,17309,13017,74121,83349
2/20/2019,56.3935,56.5465,55.5875,56.0295,56.0295,-0.296,-0.0053,1204533,56.1683,20.018,0.057,0.0029,10349,8843,71062,80547
2/19/2019,55.832,56.482,55.832,56.3255,56.3255,0.344,0.0061,1099259,56.2659,19.961,-1.724,-0.0795,8560,7494,67953,77659
2/15/2019,56.8365,56.965,55.836,55.9815,55.9815,-0.4785,-0.0085,1391348,56.2517,21.685,0.035,0.0016,18906,11660,91667,95092
2/14/2019,56.2,56.8065,55.8545,56.46,56.46,0.0285,0.0005,1055297,56.4133,21.65,0.694,0.0331,14513,10944,89916,93081
2/13/2019,56.61,57.1425,56.3,56.4315,56.4315,0.0525,0.0009,1402087,56.7409,20.956,0.293,0.0142,12780,10072,87178,90053
2/12/2019,55.5505,56.643,55.5505,56.379,56.379,1.273,0.0231,1751771,56.2881,20.663,-1.341,-0.0609,20269,13585,83507,87794
