MarketAssets,Window,HiddenSize,LearningRate,Activation,Val_RMSE
FIAT+GOLD,12,8,0.01,relu,0.2592809498310089
FIAT+GOLD,12,8,0.1,linear,0.3430371582508087
FIAT+GOLD,12,8,0.1,tanh,0.3143640160560608
FIAT+GOLD,12,8,0.1,relu,0.3192879557609558
FIAT+GOLD,12,16,0.001,linear,0.25337719917297363
FIAT+GOLD,12,16,0.001,tanh,0.2523883879184723
FIAT+GOLD,12,16,0.001,relu,0.2534811794757843
FIAT+GOLD,12,16,0.01,linear,0.26183706521987915
FIAT+GOLD,12,16,0.01,tanh,0.2622273862361908
FIAT+GOLD,12,16,0.01,relu,0.25840669870376587
FIAT+GOLD,12,16,0.1,linear,0.412960022687912
FIAT+GOLD,12,16,0.1,tanh,0.3707265853881836
FIAT+GOLD,12,16,0.1,relu,0.34219446778297424
FIAT+EQUITY+GOLD+ENERGY,12,4,0.001,linear,0.29377061128616333
FIAT+EQUITY+GOLD+ENERGY,12,4,0.001,tanh,0.30445465445518494
FIAT+EQUITY+GOLD+ENERGY,12,4,0.001,relu,0.3047006130218506
FIAT+EQUITY+GOLD+ENERGY,12,4,0.01,linear,0.264881432056427
FIAT+EQUITY+GOLD+ENERGY,12,4,0.01,tanh,0.336337685585022
FIAT+EQUITY+GOLD+ENERGY,12,4,0.01,relu,0.31649336218833923
FIAT+EQUITY+GOLD+ENERGY,12,4,0.1,linear,0.35381993651390076
FIAT+EQUITY+GOLD+ENERGY,12,4,0.1,tanh,0.3715192675590515
FIAT+EQUITY+GOLD+ENERGY,12,4,0.1,relu,0.3006661832332611
FIAT+EQUITY+GOLD+ENERGY,12,8,0.001,linear,0.2665627598762512
FIAT+EQUITY+GOLD+ENERGY,12,8,0.001,tanh,0.2623266577720642
FIAT+EQUITY+GOLD+ENERGY,12,8,0.001,relu,0.2683776021003723
FIAT+EQUITY+GOLD+ENERGY,12,8,0.01,linear,0.2809807360172272
FIAT+EQUITY+GOLD+ENERGY,12,8,0.01,tanh,0.2813670337200165
FIAT+EQUITY+GOLD+ENERGY,12,8,0.01,relu,0.2840385138988495
FIAT+EQUITY+GOLD+ENERGY,12,8,0.1,linear,1.0460680723190308
FIAT+EQUITY+GOLD+ENERGY,12,8,0.1,tanh,0.3100334703922272
FIAT+EQUITY+GOLD+ENERGY,12,8,0.1,relu,0.41830018162727356
FIAT+EQUITY+GOLD+ENERGY,12,16,0.001,linear,0.27012860774993896
FIAT+EQUITY+GOLD+ENERGY,12,16,0.001,tanh,0.30023518204689026
FIAT+EQUITY+GOLD+ENERGY,12,16,0.001,relu,0.26532530784606934
FIAT+EQUITY+GOLD+ENERGY,12,16,0.01,linear,0.29859909415245056
FIAT+EQUITY+GOLD+ENERGY,12,16,0.01,tanh,0.3438759446144104
FIAT+EQUITY+GOLD+ENERGY,12,16,0.01,relu,0.3150250315666199
FIAT+EQUITY+GOLD+ENERGY,12,16,0.1,linear,0.8377845287322998
FIAT+EQUITY+GOLD+ENERGY,12,16,0.1,tanh,0.38065049052238464
FIAT+EQUITY+GOLD+ENERGY,12,16,0.1,relu,0.8402127027511597
