DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
03/31/1944,,,,,,,,,,,,,,,,,,,,,,,,1.87518102815%,,,,,
04/30/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.720526184592%,,,,,
05/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.528347134116%,,,,,
06/30/1944,,,,,,,,,,,,,,,,,,,,,,,,0.991270032375%,,,,,
07/31/1944,,,,,,,,,,,,,,,,,,,,,,,,0.397307297084%,,,,,
08/31/1944,,,,,,,,,,,,,,,,,,,,,,,,-2.07193773005%,,,,,
09/30/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.288015012513%,,,,,
10/31/1944,,,,,,,,,,,,,,,,,,,,,,,,-0.200994721879%,,,,,
11/30/1944,,,,,,,,,,,,,,,,,,,,,,,,1.65928199709%,,,,,
12/31/1944,,,,,,,,,,,,,,,,,,,,,,,,6.14870497222%,,,,,
01/31/1945,,,,,,,,,,,,,,,,,,,,,,,,1.14876236998%,,,,,
02/28/1945,,,,,,,,,,,,,,,,,,,,,,,,2.89962016995%,,,,,
03/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-0.164479416735%,,,,,
04/30/1945,,,,,,,,,,,,,,,,,,,,,,,,1.21815187343%,,,,,
05/31/1945,,,,,,,,,,,,,,,,,,,,,,,,0.847954461691%,,,,,
06/30/1945,,,,,,,,,,,,,,,,,,,,,,,,5.7531187024%,,,,,
07/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-2.04440240812%,,,,,
08/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-4.65248708642%,,,,,
09/30/1945,,,,,,,,,,,,,,,,,,,,,,,,0.708920623151%,,,,,
10/31/1945,,,,,,,,,,,,,,,,,,,,,,,,2.12224691908%,,,,,
11/30/1945,,,,,,,,,,,,,,,,,,,,,,,,3.37979254091%,,,,,
12/31/1945,,,,,,,,,,,,,,,,,,,,,,,,-2.01624687784%,,,,,
01/31/1946,,,,,,,,,,,,,,,,,,,,,,,,2.74422052007%,,,,,
02/28/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.488233640392%,,,,,
03/31/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.60852527847%,,,,,
04/30/1946,,,,,,,,,,,,,,,,,,,,,,,,-1.06518666245%,,,,,
05/31/1946,,,,,,,,,,,,,,,,,,,,,,,,1.68302194412%,,,,,
06/30/1946,,,,,,,,,,,,,,,,,,,,,,,,1.16011340328%,,,,,
07/31/1946,,,,,,,,,,,,,,,,,,,,,,,,-0.0553635401103%,,,,,
08/31/1946,,,,,,,,,,,,,,,,,,,,,,,,0.107006365879%,,,,,
09/30/1946,,,,,,,,,,,,,,,,,,,,,,,,-2.36868193041%,,,,,
10/31/1946,,,,,,,,,,,,,,,,,,,,,,,,2.94002502943%,,,,,
11/30/1946,,,,,,,,,,,,,,,,,,,,,,,,1.07438229083%,,,,,
12/31/1946,,,,,,,,,,,,,,,,,,,,,,,,-1.0027397641%,,,,,
01/31/1947,,,,,,,,,,,,,,,,,,,,,,,,3.43735076422%,,,,,
02/28/1947,,,,,,,,,,,,,,,,,,,,,,,,-0.4090441641%,,,,,
