Crypto,Asset,N,Mean,Median,Std,Variance,Skew,Kurtosis,Min,P1,P5,P25,P50,P75,P95,P99,Max
ETH,FIAT,9,-0.06272939,-0.08303632,0.07786413,0.0060628233,1.2005880316033413,3.635339649674214,-0.1402682,-0.13960721731185913,-0.13696326017379762,-0.11436328291893005,-0.08303631842136383,-0.021372046321630478,0.05898860245943065,0.09920550614595412,0.10925973
LTC,FIAT,9,-0.07842192,-0.069285944,0.05829986,0.003398874,-0.44176932017961035,2.5102417527214858,-0.18206954,-0.1794041109085083,-0.16874239444732667,-0.09935960918664932,-0.06928594410419464,-0.05161086469888687,-0.00780306458473207,0.006632432937622067,0.010241307
BCH,FIAT+EQUITY,9,0.037180495,-0.029004663,0.23224023,0.053935528,0.3334812602232697,1.8581438660652598,-0.2802238,-0.26892185807228086,-0.22371414303779602,-0.1283702701330185,-0.029004663228988647,0.15749970078468323,0.3744524121284485,0.4013386845588684,0.40806025
BTC,FIAT+EQUITY,9,0.063252494,0.04124354,0.131925,0.017404208,0.47633033439028294,1.8871533372888656,-0.09782614,-0.09363882720470429,-0.07688958346843719,-0.04285472631454468,0.0412435382604599,0.11048384010791779,0.26220815181732177,0.2685041284561157,0.27007812
ETH,FIAT+EQUITY,9,0.06569929,-0.011271507,0.14989752,0.022469265,0.35079329585490227,1.878238996313651,-0.14696951,-0.13780124723911286,-0.10112818777561187,-0.02258796989917755,-0.011271506547927856,0.19040846824645996,0.28016326427459715,0.29834227085113524,0.30288702
LTC,FIAT+EQUITY,9,0.07644929,0.12375005,0.13070527,0.017083868,-0.49162455097465574,1.7270113806574694,-0.1293995,-0.12639258682727814,-0.11436496078968048,-0.033757954835891724,0.12375005334615707,0.1704377382993698,0.21554673314094544,0.21764741063117982,0.21817258
BCH,FIAT+EQUITY+GOLD+ENERGY,9,-0.3347009,-0.34623116,0.043808404,0.0019191763,0.7888093941477609,2.6765617443141183,-0.38813785,-0.38670626521110535,-0.3809799373149872,-0.3642984628677368,-0.3462311625480652,-0.31030529737472534,-0.2662006109952927,-0.2517684239149094,-0.24816038
BTC,FIAT+EQUITY+GOLD+ENERGY,9,-0.33748102,-0.33449146,0.013589088,0.00018466331,-1.3310546219048858,4.511005752587092,-0.36903217,-0.3668800055980682,-0.3582713305950165,-0.34134185314178467,-0.33449146151542664,-0.3308361768722534,-0.32357105016708376,-0.3206548857688904,-0.31992584
ETH,FIAT+EQUITY+GOLD+ENERGY,9,-0.33847,-0.34350523,0.016770434,0.00028124743,0.35039558966844325,1.8139944555412657,-0.3613616,-0.3605844342708588,-0.3574757993221283,-0.3499692380428314,-0.34350523352622986,-0.32713183760643005,-0.3143921196460724,-0.3143626987934113,-0.31435534
LTC,FIAT+EQUITY+GOLD+ENERGY,9,-0.34037465,-0.3395589,0.027910275,0.0007789835,0.008685347160922856,1.5020002040592624,-0.37763047,-0.37722728490829466,-0.37561453580856324,-0.35933542251586914,-0.3395588994026184,-0.3146011233329773,-0.30579466223716734,-0.3039775025844574,-0.3035232
BCH,FIAT+GOLD,9,-0.16001572,-0.17632703,0.06743821,0.004547912,1.3277655038046716,3.8482787502762106,-0.21866551,-0.21857543110847474,-0.21821511387825013,-0.20850569009780884,-0.17632703483104706,-0.14051005244255066,-0.049268692731857334,-0.016467040777206426,-0.008266628
BTC,FIAT+GOLD,9,-0.17068945,-0.15606871,0.029285327,0.00085763034,-0.5063670522967246,1.6022754432826751,-0.21583338,-0.21487084805965423,-0.21102071702480316,-0.20361952483654022,-0.15606871247291565,-0.15027545392513275,-0.1407848984003067,-0.14027800142765046,-0.14015128
ETH,FIAT+GOLD,9,-0.17618467,-0.17013705,0.035308413,0.001246684,-0.25569313279529643,1.9304464435892055,-0.22888505,-0.22842525005340575,-0.2265860319137573,-0.20185241103172302,-0.17013704776763916,-0.15847128629684448,-0.13190068304538727,-0.126391139626503,-0.12501375
LTC,FIAT+GOLD,9,-0.16544911,-0.16995901,0.040673506,0.0016543339,0.3863647174867289,2.01003303577744,-0.22090966,-0.21939491271972655,-0.2133359432220459,-0.19391322135925293,-0.16995900869369507,-0.1321706622838974,-0.1069049119949341,-0.09865923881530762,-0.09659782
BCH,GOLD,9,-0.01469608,0.00037639588,0.040978864,0.0016792673,-0.3131835786049647,1.53611959334885,-0.07500406,-0.0740180853009224,-0.07007417231798171,-0.05450902506709099,0.0003763958811759949,0.018946822732686996,0.03064397647976875,0.03285080030560494,0.033402506
BTC,GOLD,9,-0.011827085,-0.0064215437,0.03202391,0.0010255307,-0.0801852093117046,2.3881452489567607,-0.06356931,-0.062476939260959624,-0.058107466995716096,-0.02513178437948227,-0.006421543657779694,-0.0021204836666584015,0.032109331339597695,0.038987862318754195,0.040707495
ETH,GOLD,9,-0.014909284,-0.015373442,0.03822493,0.0014611455,0.20338437247563793,1.8147771108523127,-0.06265105,-0.06257269501686097,-0.06225926280021667,-0.03895512595772743,-0.015373442322015762,0.005133528262376785,0.03924440667033195,0.042902322262525557,0.0438168
LTC,GOLD,9,-0.01571548,-0.02091894,0.0314581,0.0009896118,0.4764152060599445,2.071575694779612,-0.059508998,-0.0577386312186718,-0.05065716430544853,-0.035064227879047394,-0.020918939262628555,0.001857314258813858,0.032108397036790845,0.03379875138401985,0.03422134
