This file was created using the 202509 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
199110,   2.24
199111,  -2.70
199112,  -0.98
199201,   9.40
199202,   5.29
199203,   1.43
199204,   0.70
199205,  -0.43
199206,   1.29
199207,  -1.30
199208,  -4.19
199209,   0.09
199210,  -1.00
199211,   0.24
199212,   0.91
199301,   5.57
199302,   4.21
199303,   1.90
199304,   2.35
199305,   1.26
199306,   1.68
199307,   1.11
199308,   1.03
199309,   0.65
199310,   1.92
199311,   1.43
199312,   0.47
199401,   3.75
199402,  -0.21
199403,   0.50
199404,   0.39
199405,   1.62
199406,   0.46
199407,   0.46
199408,   2.28
199409,   1.68
199410,   0.62
199411,  -1.67
199412,   0.24
199501,  -0.41
199502,  -0.91
199503,   1.14
199504,   0.39
199505,  -1.11
199506,  -1.86
199507,  -0.91
199508,  -1.10
199509,  -0.96
199510,   0.57
199511,   0.64
199512,   3.99
199601,   1.31
199602,  -1.33
199603,  -0.31
199604,  -0.60
199605,   1.45
199606,  -0.12
199607,  -0.02
199608,  -1.50
199609,  -2.12
199610,   0.10
199611,  -2.51
199612,  -0.58
199701,  -1.66
199702,   0.93
199703,   2.11
199704,  -3.92
199705,  -2.10
199706,   0.22
199707,  -1.04
199708,   3.13
199709,  -0.48
199710,   0.36
199711,   0.97
199712,   0.14
199801,  -0.86
199802,  -1.21
199803,   2.22
199804,  -0.95
199805,   1.44
199806,  -0.84
199807,   0.41
199808,   4.19
199809,   0.25
199810,  -4.15
199811,  -0.37
199812,  -1.07
199901,   1.25
199902,   0.40
199903,  -1.17
199904,   5.28
199905,   3.44
199906,  -0.14
199907,   1.94
199908,  -1.69
199909,   0.34
199910,  -3.16
199911,   5.20
199912,   5.61
200001,   1.62
200002,   7.42
200003,  -4.75
200004,   0.26
200005,  -1.89
200006,   2.42
200007,  -3.13
200008,   1.10
200009,  -2.58
200010,  -1.08
200011,   0.58
200012,   3.18
200101,  -2.82
200102,  11.08
200103,   3.92
200104,  -3.84
200105,   3.87
200106,   1.86
200107,   2.75
200108,   5.85
200109,   0.16
200110,  -1.69
200111,   0.27
200112,   1.22
200201,   3.24
200202,   4.02
200203,   2.14
200204,   5.95
200205,   2.28
200206,   2.14
200207,  -2.83
200208,  -0.73
200209,  -0.71
200210,  -0.14
200211,   4.25
200212,   1.96
200301,   0.31
200302,  -1.73
200303,  -2.72
200304,  -0.86
200305,   3.47
200306,   1.23
200307,   0.77
200308,  -0.51
200309,   1.15
200310,   1.98
200311,   1.96
200312,   1.93
200401,   2.06
200402,  -2.84
200403,  -1.77
200404,  -2.22
200405,   0.86
200406,   1.78
200407,  -2.45
200408,  -2.99
200409,  -1.37
200410,   0.94
200411,  -1.04
200412,   0.81
200501,  -2.99
200502,  -1.55
200503,  -0.75
200504,  -1.40
200505,   0.73
200506,  -1.49
200507,   0.93
200508,   0.48
200509,  -0.12
200510,  -1.03
200511,   0.32
200512,  -1.01
200601,   1.18
200602,   1.57
200603,   0.50
200604,  -0.31
200605,  -0.15
200606,  -1.12
200607,   1.45
200608,   2.96
200609,   1.73
200610,  -0.48
200611,  -1.87
200612,   1.89
200701,  -0.66
200702,  -0.69
200703,  -1.16
200704,   0.29
200705,  -2.42
200706,  -0.12
200707,  -2.02
200708,  -0.12
200709,  -2.75
200710,  -1.59
200711,   0.64
200712,  -1.85
200801,   1.82
200802,  -1.98
200803,   2.88
200804,  -4.56
200805,  -4.52
200806,  -3.12
200807,   7.37
200808,   1.36
200809,   5.62
200810,   2.07
200811,  -2.31
200812,   0.12
200901,  -6.66
200902,   1.05
200903,   3.41
200904,  -0.35
200905,  -1.47
200906,   1.32
200907,   4.99
200908,   5.62
200909,  -1.69
200910,  -4.85
200911,   1.41
200912,   0.76
201001,   1.77
201002,   2.61
201003,   4.28
201004,   4.72
201005,  -3.09
201006,  -5.27
201007,   0.74
201008,  -3.83
201009,   1.81
201010,  -2.07
201011,  -0.83
201012,   4.58
201101,   0.86
201102,   1.14
201103,  -1.99
201104,  -2.18
201105,  -2.38
201106,  -1.90
201107,  -2.43
201108,  -5.98
201109,  -5.04
201110,   3.63
201111,  -3.43
201112,   2.07
201201,   1.49
201202,   1.66
201203,   2.69
201204,  -1.87
201205,  -1.78
201206,   1.67
201207,  -1.99
201208,   1.91
201209,   1.80
201210,   1.06
201211,  -0.65
201212,   3.80
201301,   3.35
201302,  -0.16
201303,   1.47
201304,  -0.30
201305,   3.07
201306,  -0.91
201307,   1.74
201308,  -1.38
201309,  -0.11
201310,   0.21
201311,   0.34
201312,  -0.90
201401,   1.27
201402,  -1.05
201403,   2.92
201404,   0.16
201405,  -0.63
201406,   0.45
201407,   0.35
201408,  -1.21
201409,  -0.93
201410,  -3.29
201411,  -1.55
201412,   0.41
201501,  -3.38
201502,  -1.95
201503,  -2.54
201504,   1.22
201505,  -0.85
201506,  -0.95
201507,  -1.42
201508,   1.39
201509,   0.15
201510,  -0.53
201511,  -0.16
201512,  -2.38
201601,  -1.04
201602,   0.55
201603,   4.06
201604,   4.78
201605,  -2.16
201606,   1.14
201607,  -0.10
201608,   0.67
201609,   1.65
201610,  -0.92
201611,   1.78
201612,  -2.56
201701,  -1.32
201702,  -3.28
201703,  -1.22
201704,  -3.43
201705,  -2.43
201706,  -0.80
201707,   0.60
201708,  -2.04
201709,   0.58
201710,  -1.91
201711,   0.73
201712,   2.06
201801,  -1.87
201802,  -3.49
201803,   1.80
201804,   2.79
201805,  -0.16
201806,   0.91
201807,  -1.44
201808,  -2.79
201809,   1.75
201810,  -1.68
201811,  -3.82
201812,  -2.71
201901,   2.26
201902,  -0.60
201903,  -0.85
201904,  -3.01
201905,  -4.20
201906,  -0.35
201907,  -3.13
201908,  -5.01
201909,   2.69
201910,  -3.40
201911,  -0.03
201912,   0.92
202001,  -5.02
202002,  -1.63
202003,  -8.77
202004,   3.17
202005,  -2.27
202006,   2.22
202007,  -0.08
202008,   2.02
202009,  -3.10
202010,  -0.67
202011,   6.37
202012,  -0.84
202101,   9.42
202102,   4.08
202103,   3.22
202104,  -1.90
202105,   5.31
202106,  -1.70
202107,  -7.54
202108,  -1.07
202109,   4.86
202110,  -3.13
202111,  -3.94
202112,  -0.42
202201,  11.86
202202,   5.22
202203,   1.52
202204,   7.10
202205,   5.69
202206,  -2.08
202207,  -6.35
202208,   4.30
202209,  -1.35
202210,   9.06
202211,  -0.72
202212,   2.30
202301,  -1.19
202302,  -2.27
202303,  -5.54
202304,  -0.38
202305,  -4.07
202306,  -0.07
202307,   3.34
202308,  -2.46
202309,   0.22
202310,  -1.90
202311,   0.91
202312,   0.26
202401,   0.73
202402,   0.55
202403,   0.09
202404,  -2.24
202405,  -2.31
202406,  -2.31
202407,   1.72
202408,   0.71
202409,  -0.25
202410,   1.82
202411,   0.69
202412,  -1.64
202501,   1.28
202502,   2.48
202503,   1.79
202504,  -1.27
202505,  -3.91
202506,  -3.91
202507,  -4.19
202508,   2.46
202509,  -3.53

Annual Factors:
January-December 
,LT_Rev
  1931,  -4.62
  1932,  14.13
  1933,  94.46
  1934, -11.11
  1935,  37.42
  1936,  14.40
  1937,  -1.29
  1938, -11.05
  1939, -12.14
  1940, -10.66
  1941,  -7.94
  1942,  31.39
  1943,  45.13
  1944,   2.80
  1945, -16.09
  1946,  14.15
  1947,   9.07
  1948,   7.34
  1949,   0.91
  1950,  13.42
  1951, -13.35
  1952,  -4.61
  1953,  -2.02
  1954, -20.56
  1955, -11.70
  1956,  -5.28
  1957,   4.89
  1958,  -0.10
  1959,  -0.69
  1960,  -4.98
  1961,  -8.62
  1962,  11.76
  1963,   8.02
  1964,   1.19
  1965,  13.22
  1966,   5.52
  1967,  -4.78
  1968,  12.03
  1969,   3.09
  1970,  24.49
  1971,  -5.27
  1972,  -2.47
  1973,   6.57
  1974,   3.92
  1975,  28.56
  1976,  15.98
  1977,   7.58
  1978,   1.51
  1979,  -7.68
  1980, -13.81
  1981,  17.61
  1982,  26.44
  1983,   5.67
  1984,  -4.91
  1985, -20.19
  1986, -12.53
  1987,   7.88
  1988,  -3.22
  1989, -11.97
  1990,  -2.27
  1991,   4.00
  1992,  13.63
  1993,  27.24
  1994,   9.98
  1995,  -0.67
  1996,  -7.37
  1997,  -0.88
  1998,  -0.69
  1999,  20.68
  2000,   1.39
  2001,  26.06
  2002,  17.88
  2003,  10.30
  2004,  -9.83
  2005,  -8.77
  2006,   8.00
  2007, -12.93
  2008,   3.61
  2009,   2.67
  2010,   3.94
  2011, -18.25
  2012,  10.77
  2013,   8.17
  2014,  -3.12
  2015, -10.93
  2016,   8.57
  2017, -14.58
  2018, -10.24
  2019, -19.33
  2020, -15.17
  2021,   7.99
  2022,  33.82
  2023, -16.71
  2024,  -3.21

Copyright 2025 Eugene F. Fama and Kenneth R. French
